product_id,sku,product_name,category,sub_category,brand,unit_cost,unit_price,supplier_id,is_active,launch_date,weight_kg,stock_quantity,margin_flag
19,SKU-00019,Pass Fitness Equipment Max,Sports,Fitness Equipment,CloudWalker,186.93,224.73,40.0,1,2024-06-08,14.195,3504,0
20,SKU-00020,Buy Bedding Ultra,Home & Kitchen,Bedding,ZenHome,314.0,516.69,20.0,1,2020-06-17,10.76,4469,0
21,SKU-00021,Face Fragrances Ultra,Beauty,Fragrances,CloudWalker,113.68,297.89,23.0,1,2019-08-09,25.49,3874,0
22,SKU-00022,Scene Action Figures Ultra,Toys,Action Figures,FreshCart,5.5,10.37,46.0,0,2019-11-10,28.45,4703,0
23,SKU-00023,Cause Bedding Max,Home & Kitchen,Bedding,IronClad,156.51,192.61,4.0,1,2020-12-18,9.19,4200,0
24,SKU-00024,Whole Board Games Plus,Toys,Board Games,PeakForm,11.6,24.73,4.0,1,2024-02-15,17.79,3023,0
25,SKU-00025,Late Furniture Lite,Home & Kitchen,Furniture,GlowLab,300.19,442.62,13.0,1,2022-07-21,27.27,2893,0
26,SKU-00026,Wide Outdoor Toys Plus,Toys,Outdoor Toys,PlayZone,16.75,23.87,10.0,1,2020-03-13,5.4,390,0
27,SKU-00027,Energy Men'S Apparel Max,Clothing,Men's Apparel,NovaTech,27.04,41.95,4.0,1,2020-01-16,18.18,3309,0
28,SKU-00028,Interview Educational,Toys,Educational,ZenHome,20.53,50.77,11.0,1,2023-11-10,23.99,1234,0
29,SKU-00029,Establish Beverages Plus,Grocery,Beverages,GlowLab,3.16,3.94,42.0,1,2021-12-09,7.91,453,0
30,SKU-00030,Low Fitness Equipment Max,Sports,Fitness Equipment,SwiftGear,98.22,138.71,9.0,1,2019-10-27,15.88,4758,0
31,SKU-00031,Floor Makeup Plus,Beauty,Makeup,UrbanNest,99.95,161.91,33.0,1,2021-10-12,19.91,4772,0
32,SKU-00032,Professional Team Sports,Sports,Team Sports,FreshCart,69.17,137.8,11.0,1,2022-07-15,18.59,231,0
33,SKU-00033,Provide Footwear Pro,Clothing,Footwear,PlayZone,65.81,79.61,29.0,1,2020-10-29,16.08,1658,0
34,SKU-00034,President Bedding,Home & Kitchen,Bedding,LuxeWear,471.92,809.6775,5.0,0,2020-01-26,12.5,1899,0
35,SKU-00035,Alone Cookware Lite,Home & Kitchen,Cookware,NovaTech,471.87,809.6775,28.0,1,2023-01-27,18.95,1560,0
36,SKU-00036,Ago Organic Plus,Grocery,Organic,IronClad,23.34,51.85,8.0,1,2019-09-16,6.23,2729,0
37,SKU-00037,Official Furniture Max,Home & Kitchen,Furniture,AromaBliss,381.46,702.36,37.0,0,2019-07-10,5.07,1238,0
38,SKU-00038,Couple Men'S Apparel Lite,Clothing,Men's Apparel,AromaBliss,73.23,115.77,32.0,1,,18.11,3226,0
39,SKU-00039,Military Cameras,Electronics,Cameras,AromaBliss,860.1,809.6775,46.0,1,2018-01-16,18.19,4959,1
40,SKU-00040,Occur Accessories Ultra,Clothing,Accessories,SwiftGear,9.27,15.7,25.0,0,2023-04-08,23.21,1603,0
41,SKU-00041,Source Men'S Apparel Lite,Clothing,Men's Apparel,PureEdge,138.53,345.59,8.0,1,2021-11-27,9.79,2340,0
42,SKU-00042,Less Bedding Plus,Home & Kitchen,Bedding,ByteBox,112.58,268.79,47.0,1,2023-01-30,20.16,4531,0
43,SKU-00043,Soon Accessories Pro,Clothing,Accessories,PeakForm,27.54,43.51,48.0,1,2024-11-16,16.08,4472,0
44,SKU-00044,Reason Fragrances Max,Beauty,Fragrances,LuxeWear,29.95,72.23,24.0,1,2022-03-04,17.72,608,0
45,SKU-00045,Appear Cookware Pro,Home & Kitchen,Cookware,PageTurner,438.99,809.6775,26.0,1,2019-03-10,5.91,2489,0
46,SKU-00046,Interview Accessories Pro,Clothing,Accessories,IronClad,64.31,95.16,1.0,1,2019-12-18,8.76,1188,0
47,SKU-00047,Arm Headphones,Electronics,Headphones,IronClad,62.08,124.02,26.0,1,2023-11-15,21.86,1377,0
48,SKU-00048,Kid Footwear Ultra,Clothing,Footwear,FreshCart,143.18,340.4,10.0,1,2021-10-13,18.94,3074,0
49,SKU-00049,Ahead Snacks Plus,Grocery,Snacks,NovaTech,10.89,25.19,2.0,1,2022-09-19,2.81,317,0
50,SKU-00050,Carry Bedding Pro,Home & Kitchen,Bedding,AromaBliss,35.43,81.45,36.0,1,2021-10-26,20.82,3364,0
51,SKU-00051,Politics Team Sports,Sports,Team Sports,AromaBliss,114.03,290.99,5.0,1,2023-07-20,20.89,1890,0
52,SKU-00052,So Snacks Pro,Grocery,Snacks,FreshCart,21.58,40.54,6.0,1,2021-12-28,24.81,3895,0
53,SKU-00053,Where Makeup Pro,Beauty,Makeup,PlayZone,44.37,119.99,7.0,0,2023-12-01,9.12,3506,0
54,SKU-00054,Really Headphones Lite,Electronics,Headphones,ByteBox,758.75,809.6775,27.0,1,2020-09-04,0.74,4383,0
55,SKU-00055,Decade Organic Max,Grocery,Organic,PureEdge,13.54,25.27,2.0,0,2020-05-06,2.54,1491,0
56,SKU-00056,Eight Fragrances Max,Beauty,Fragrances,PageTurner,13.42,35.41,38.0,1,2018-11-25,12.56,3531,0
57,SKU-00057,Ground Bedding Pro,Home & Kitchen,Bedding,UrbanNest,83.53,115.66,31.0,1,2024-10-02,10.86,2560,0
58,SKU-00058,Have Cookware Plus,Home & Kitchen,Cookware,ZenHome,394.94,585.76,5.0,0,2020-06-20,18.94,1522,0
59,SKU-00059,Pull Skincare Max,Beauty,Skincare,NovaTech,66.81,150.1,42.0,1,2018-02-11,25.21,1666,0
60,SKU-00060,Finally Outdoor Gear Max,Sports,Outdoor Gear,UrbanNest,284.8,630.7,11.0,0,2022-06-27,11.22,682,0
61,SKU-00061,Truth Board Games Ultra,Toys,Board Games,ByteBox,9.65,17.22,49.0,1,2022-06-27,9.06,3844,0
62,SKU-00062,Her Fitness Equipment Plus,Sports,Fitness Equipment,GlowLab,23.59,30.78,17.0,1,2018-11-24,4.13,3265,0
63,SKU-00063,Owner Dairy,Grocery,Dairy,ZenHome,0.89,2.0,26.0,1,2023-10-09,20.07,726,0
64,SKU-00064,Involve Non-Fiction,Books,Non-Fiction,SwiftGear,17.25,42.42,35.0,1,2019-10-24,4.66,1350,0
65,SKU-00065,Town Action Figures Max,Toys,Action Figures,PureEdge,33.35,75.65,25.0,1,2022-07-23,20.36,127,0
66,SKU-00066,Family Outdoor Gear Pro,Sports,Outdoor Gear,ByteBox,260.85,472.2,9.0,1,2022-06-11,17.98,3236,0
67,SKU-00067,None Fitness Equipment Lite,Sports,Fitness Equipment,NovaTech,47.1,80.04,,1,2022-06-16,11.31,2625,0
68,SKU-00068,Any Outdoor Gear Plus,Sports,Outdoor Gear,ByteBox,288.59,620.42,,1,2024-10-18,26.63,1217,0
69,SKU-00069,Sell Skincare Lite,Beauty,Skincare,IronClad,109.34,298.98,48.0,1,2022-09-16,28.37,3531,0
70,SKU-00070,Worry Academic,Books,Academic,AromaBliss,23.88,55.76,47.0,1,2018-10-07,5.83,517,0
71,SKU-00071,Individual Cookware Lite,Home & Kitchen,Cookware,PlayZone,379.06,517.6,5.0,1,2021-08-03,2.55,518,0
72,SKU-00072,Firm Dairy Ultra,Grocery,Dairy,CloudWalker,7.1,9.05,35.0,1,2021-08-11,10.67,3049,0
73,SKU-00073,Detail Action Figures Lite,Toys,Action Figures,NovaTech,84.48,233.93,24.0,1,2023-04-30,23.47,4979,0
74,SKU-00074,Player Board Games Lite,Toys,Board Games,GlowLab,21.75,60.71,32.0,1,2018-03-03,0.88,2158,0
75,SKU-00075,Study Headphones Lite,Electronics,Headphones,GlowLab,761.3,809.6775,11.0,1,2018-08-16,8.94,4970,0
76,SKU-00076,Movement Smartphones Max,Electronics,Smartphones,ByteBox,745.74,809.6775,37.0,0,2018-01-15,0.13,2278,0
77,SKU-00077,Address Organic,Grocery,Organic,UrbanNest,3.88,9.55,35.0,1,2023-11-29,26.21,1698,0
78,SKU-00078,Lead Appliances Plus,Home & Kitchen,Appliances,LuxeWear,442.9,809.6775,17.0,1,2021-12-21,24.69,3259,0
79,SKU-00079,Space Team Sports Ultra,Sports,Team Sports,LuxeWear,269.91,721.05,2.0,1,2020-08-28,16.92,2856,0
80,SKU-00080,Skill Academic Lite,Books,Academic,NovaTech,10.31,20.41,10.0,1,2018-02-24,11.12,1126,0
81,SKU-00081,Camera Academic Plus,Books,Academic,ByteBox,14.54,28.49,21.0,1,2020-08-07,5.01,31,0
82,SKU-00082,Girl Team Sports Pro,Sports,Team Sports,GlowLab,268.9,695.53,9.0,1,2022-10-11,29.88,4810,0
83,SKU-00083,Off Outdoor Gear Ultra,Sports,Outdoor Gear,AromaBliss,283.36,708.88,29.0,1,2020-03-26,25.88,2510,0
84,SKU-00084,Picture Men'S Apparel,Clothing,Men's Apparel,IronClad,121.21,330.41,20.0,1,2021-12-15,16.24,4668,0
85,SKU-00085,Test Academic Lite,Books,Academic,NovaTech,25.18,54.49,40.0,1,2018-02-04,29.57,1093,0
86,SKU-00086,Computer Furniture Pro,Home & Kitchen,Furniture,NovaTech,112.02,187.44,11.0,1,2020-01-23,2.81,1059,0
87,SKU-00087,Produce Cameras Lite,Electronics,Cameras,CloudWalker,840.8,809.6775,17.0,1,2024-10-12,24.15,4865,1
88,SKU-00088,Task Women'S Apparel Pro,Clothing,Women's Apparel,ByteBox,117.99,196.92,33.0,1,2023-03-31,6.31,4247,0
89,SKU-00089,Usually Fragrances Plus,Beauty,Fragrances,SwiftGear,21.4,47.07,8.0,1,2021-12-16,25.68,4104,0
90,SKU-00090,Her Academic Max,Books,Academic,LuxeWear,4.28,11.7,41.0,0,2018-02-16,1.45,4331,0
91,SKU-00091,History Fiction Lite,Books,Fiction,PageTurner,34.66,93.33,34.0,1,2020-06-29,29.55,4634,0
92,SKU-00092,Suggest Haircare Max,Beauty,Haircare,NovaTech,112.2,271.49,9.0,1,2023-12-18,23.45,459,0
93,SKU-00093,Throw Footwear,Clothing,Footwear,ByteBox,149.0,381.83,22.0,1,2021-05-08,29.07,9,0
94,SKU-00094,Cut Cameras,Electronics,Cameras,LuxeWear,650.27,809.6775,46.0,1,2022-06-26,20.53,915,0
95,SKU-00095,Article Footwear Lite,Clothing,Footwear,AromaBliss,15.16,20.93,33.0,0,2024-11-18,25.69,14,0
96,SKU-00096,Know Beverages Plus,Grocery,Beverages,ByteBox,5.92,16.29,6.0,0,,21.72,3525,0
97,SKU-00097,Police Outdoor Gear Pro,Sports,Outdoor Gear,AromaBliss,30.36,67.12,1.0,1,2022-03-15,3.68,2534,0
98,SKU-00098,Number Laptops Max,Electronics,Laptops,UrbanNest,85.79,178.97,30.0,1,2024-04-27,20.15,127,0
99,SKU-00099,Church Men'S Apparel Max,Clothing,Men's Apparel,ZenHome,26.87,44.16,15.0,1,2023-03-21,27.21,3705,0
100,SKU-00100,Partner Skincare Pro,Beauty,Skincare,PeakForm,85.5,103.93,11.0,1,2021-03-07,5.94,436,0
101,SKU-00101,Watch Beverages Max,Grocery,Beverages,GlowLab,16.79,34.89,16.0,1,2020-10-04,24.32,13,0
102,SKU-00102,Performance Accessories Pro,Clothing,Accessories,AromaBliss,57.35,107.29,29.0,1,2020-05-12,29.01,2274,0
103,SKU-00103,Throw Haircare Ultra,Beauty,Haircare,PlayZone,97.09,190.73,3.0,1,2021-09-24,21.63,960,0
104,SKU-00104,Summer Academic Lite,Books,Academic,CloudWalker,15.38,23.18,38.0,0,2024-01-05,19.53,1589,0
105,SKU-00105,Whom Action Figures Max,Toys,Action Figures,PureEdge,6.83,12.04,21.0,1,2021-03-19,27.0,2754,0
106,SKU-00106,During Men'S Apparel,Clothing,Men's Apparel,SwiftGear,61.41,164.11,48.0,1,2019-05-12,27.31,3451,0
107,SKU-00107,Big Headphones Plus,Electronics,Headphones,ByteBox,570.39,809.6775,7.0,1,2018-05-08,5.58,4786,0
108,SKU-00108,Side Makeup,Beauty,Makeup,PageTurner,79.22,167.92,35.0,1,2018-01-30,2.18,2862,0
109,SKU-00109,Far Women'S Apparel Plus,Clothing,Women's Apparel,AromaBliss,172.85,221.78,8.0,1,2021-01-09,22.81,30,0
110,SKU-00110,Hundred Team Sports Ultra,Sports,Team Sports,PlayZone,172.09,226.53,7.0,1,2023-12-26,13.33,4177,0
111,SKU-00111,Imagine Fiction Pro,Books,Fiction,PeakForm,13.71,23.27,12.0,1,,24.58,3722,0
112,SKU-00112,Trade Makeup Max,Beauty,Makeup,IronClad,103.0,274.66,5.0,1,2018-07-15,17.7,2456,0
113,SKU-00113,Step Comics Plus,Books,Comics,LuxeWear,26.78,35.35,47.0,1,2020-02-08,26.96,8,0
114,SKU-00114,Yeah Snacks,Grocery,Snacks,LuxeWear,6.57,16.42,21.0,1,2022-07-07,8.85,3930,0
115,SKU-00115,Pull Fitness Equipment Max,Sports,Fitness Equipment,PureEdge,137.54,359.23,19.0,1,2024-07-24,13.25,4272,0
116,SKU-00116,Why Fragrances Plus,Beauty,Fragrances,FreshCart,56.36,107.59,40.0,1,2018-11-03,6.34,1760,0
117,SKU-00117,Image Cameras Pro,Electronics,Cameras,CloudWalker,861.55,809.6775,,0,2020-12-16,23.66,1188,1
118,SKU-00118,Beyond Women'S Apparel Pro,Clothing,Women's Apparel,NovaTech,167.04,372.65,12.0,1,2021-09-15,9.43,160,0
119,SKU-00119,Short Cookware Ultra,Home & Kitchen,Cookware,GlowLab,162.12,399.55,42.0,1,2022-06-27,18.13,1796,0
120,SKU-00120,Worry Smartphones Ultra,Electronics,Smartphones,PlayZone,855.07,809.6775,13.0,0,2022-08-21,24.78,1029,1
121,SKU-00121,Peace Women'S Apparel Plus,Clothing,Women's Apparel,PeakForm,6.37,8.47,40.0,1,2018-05-07,11.59,196,0
122,SKU-00122,Nor Haircare Pro,Beauty,Haircare,ByteBox,99.94,162.72,27.0,0,2022-09-09,13.47,2348,0
123,SKU-00123,They Action Figures Max,Toys,Action Figures,LuxeWear,56.29,122.29,38.0,1,2019-03-28,29.78,3768,0
124,SKU-00124,Yet Cookware Ultra,Home & Kitchen,Cookware,NovaTech,402.35,809.6775,34.0,1,2020-04-25,8.87,2633,0
125,SKU-00125,Quickly Outdoor Gear Ultra,Sports,Outdoor Gear,IronClad,245.68,653.54,10.0,1,2020-07-24,28.65,3249,0
126,SKU-00126,Sign Outdoor Gear Lite,Sports,Outdoor Gear,SwiftGear,31.58,63.99,5.0,1,2021-02-09,23.75,771,0
127,SKU-00127,Data Snacks,Grocery,Snacks,LuxeWear,1.11,2.47,3.0,1,2018-07-28,6.18,4615,0
128,SKU-00128,Present Fragrances Ultra,Beauty,Fragrances,PageTurner,46.58,129.7,50.0,1,2021-03-09,25.21,3413,0
129,SKU-00129,Civil Outdoor Gear Lite,Sports,Outdoor Gear,PureEdge,95.31,220.96,28.0,1,2019-03-28,27.39,3148,0
130,SKU-00130,Final Furniture,Home & Kitchen,Furniture,ZenHome,328.67,531.27,21.0,1,2023-01-07,0.11,1520,0
131,SKU-00131,Cell Fiction Plus,Books,Fiction,IronClad,3.21,4.49,3.0,1,2018-11-02,3.82,3546,0
132,SKU-00132,Practice Appliances Lite,Home & Kitchen,Appliances,PlayZone,370.65,505.99,1.0,1,2023-08-09,16.76,1648,0
133,SKU-00133,Himself Laptops Ultra,Electronics,Laptops,ByteBox,285.99,587.57,9.0,0,2019-06-05,14.42,3087,0
134,SKU-00134,Size Fitness Equipment Plus,Sports,Fitness Equipment,CloudWalker,273.84,726.94,17.0,1,2024-11-26,10.22,3277,0
135,SKU-00135,Room Organic Plus,Grocery,Organic,NovaTech,6.96,15.49,10.0,1,2021-12-07,25.16,462,0
136,SKU-00136,Certainly Cameras Lite,Electronics,Cameras,SwiftGear,413.15,644.31,35.0,1,,22.71,2463,0
137,SKU-00137,Significant Team Sports,Sports,Team Sports,SwiftGear,14.99,21.55,40.0,1,,21.21,3630,0
138,SKU-00138,Man Women'S Apparel Ultra,Clothing,Women's Apparel,GlowLab,9.11,22.56,32.0,1,2022-06-08,25.04,3700,0
139,SKU-00139,Must Snacks Lite,Grocery,Snacks,PeakForm,3.26,8.92,39.0,1,2023-11-08,0.55,1934,0
140,SKU-00140,End Bedding Plus,Home & Kitchen,Bedding,SwiftGear,119.97,304.3,2.0,1,2019-07-01,20.72,4101,0
141,SKU-00141,Difficult Cameras,Electronics,Cameras,ZenHome,736.3,809.6775,46.0,1,2018-05-27,3.53,4302,0
142,SKU-00142,Record Dairy Ultra,Grocery,Dairy,AromaBliss,17.52,36.52,45.0,1,2023-10-13,25.47,2178,0
143,SKU-00143,Least Skincare Max,Beauty,Skincare,IronClad,48.19,91.22,33.0,1,2020-07-13,4.7,1159,0
144,SKU-00144,Industry Team Sports Ultra,Sports,Team Sports,PureEdge,106.76,275.6,15.0,1,2019-06-12,1.72,2166,0
145,SKU-00145,A Team Sports,Sports,Team Sports,AromaBliss,188.91,280.61,18.0,1,2021-10-31,4.17,2793,0
146,SKU-00146,Head Non-Fiction Plus,Books,Non-Fiction,LuxeWear,29.67,57.51,27.0,1,2022-03-25,25.17,4662,0
147,SKU-00147,Myself Board Games Lite,Toys,Board Games,IronClad,52.81,89.03,47.0,1,2020-01-12,28.63,1347,0
148,SKU-00148,Low Cookware Plus,Home & Kitchen,Cookware,ByteBox,199.19,400.67,10.0,0,2022-06-19,5.62,4935,0
149,SKU-00149,All Furniture Plus,Home & Kitchen,Furniture,LuxeWear,197.65,269.97,21.0,1,2023-04-09,3.49,2417,0
150,SKU-00150,Course Haircare Plus,Beauty,Haircare,CloudWalker,58.02,102.45,47.0,1,2023-07-11,17.45,1913,0
151,SKU-00151,Nothing Dairy,Grocery,Dairy,UrbanNest,5.07,12.48,43.0,1,2022-05-10,12.21,5,0
152,SKU-00152,Stage Haircare Lite,Beauty,Haircare,PureEdge,71.41,166.25,31.0,1,2024-06-06,27.07,3369,0
153,SKU-00153,Leave Fitness Equipment,Sports,Fitness Equipment,ZenHome,101.58,180.16,22.0,1,2020-12-12,12.36,1392,0
154,SKU-00154,Foot Organic Plus,Grocery,Organic,AromaBliss,9.03,20.24,19.0,1,2022-11-07,3.54,1263,0
155,SKU-00155,Kitchen Snacks Max,Grocery,Snacks,IronClad,23.04,36.99,,1,2019-09-29,7.03,2656,0
156,SKU-00156,Term Cameras Lite,Electronics,Cameras,SwiftGear,396.79,809.6775,43.0,1,2024-08-01,15.05,1905,0
157,SKU-00157,Every Women'S Apparel Plus,Clothing,Women's Apparel,ByteBox,16.33,40.38,8.0,1,2022-03-21,17.95,1949,0
158,SKU-00158,Lead Fitness Equipment Ultra,Sports,Fitness Equipment,AromaBliss,43.76,81.72,1.0,1,2024-07-22,27.07,4717,0
159,SKU-00159,Push Fiction Plus,Books,Fiction,CloudWalker,14.75,18.65,41.0,1,2022-06-29,3.62,2009,0
160,SKU-00160,One Laptops,Electronics,Laptops,ZenHome,896.84,809.6775,13.0,1,2020-08-10,1.24,3357,1
161,SKU-00161,Left Academic Pro,Books,Academic,ZenHome,18.48,42.19,15.0,1,2018-12-19,15.77,2613,0
162,SKU-00162,Indicate Action Figures Pro,Toys,Action Figures,PlayZone,83.03,227.17,27.0,1,2021-06-15,23.14,4008,0
163,SKU-00163,House Fiction Max,Books,Fiction,LuxeWear,3.73,6.43,20.0,1,2019-12-10,20.94,1058,0
164,SKU-00164,Shoulder Skincare Plus,Beauty,Skincare,ByteBox,50.21,113.47,,1,2023-12-05,19.55,3086,0
165,SKU-00165,Get Outdoor Gear Max,Sports,Outdoor Gear,PureEdge,186.19,335.13,30.0,1,2018-09-22,2.41,3697,0
166,SKU-00166,Easy Comics Pro,Books,Comics,IronClad,7.46,18.04,25.0,1,2020-07-02,19.53,353,0
167,SKU-00167,Record Cookware Max,Home & Kitchen,Cookware,CloudWalker,156.78,203.64,25.0,1,2021-03-31,17.82,3048,0
168,SKU-00168,Interview Board Games Pro,Toys,Board Games,ByteBox,63.57,147.95,50.0,1,,15.69,885,0
169,SKU-00169,Improve Tablets Ultra,Electronics,Tablets,PlayZone,474.62,620.78,,1,2018-01-17,23.56,1363,0
170,SKU-00170,Then Fitness Equipment Max,Sports,Fitness Equipment,GlowLab,29.53,57.5,2.0,1,2021-05-17,18.17,3714,0
171,SKU-00171,For Smartphones Lite,Electronics,Smartphones,UrbanNest,49.77,97.46,37.0,1,2022-09-12,21.36,2938,0
172,SKU-00172,Not Smartphones Plus,Electronics,Smartphones,LuxeWear,105.92,288.24,45.0,1,2019-02-22,4.77,318,0
173,SKU-00173,During Makeup Max,Beauty,Makeup,UrbanNest,95.18,205.0,43.0,1,2019-02-09,13.12,802,0
174,SKU-00174,Page Outdoor Gear Max,Sports,Outdoor Gear,GlowLab,228.29,387.46,23.0,1,2018-01-31,4.07,1880,0
175,SKU-00175,This Comics Ultra,Books,Comics,ByteBox,12.62,33.76,39.0,1,2018-01-31,21.41,4258,0
176,SKU-00176,Term Headphones Plus,Electronics,Headphones,FreshCart,840.24,809.6775,8.0,1,2018-02-25,21.31,322,1
177,SKU-00177,Present Smartphones,Electronics,Smartphones,PageTurner,368.4,677.21,2.0,1,2018-05-15,10.71,2674,0
178,SKU-00178,Catch Fiction Lite,Books,Fiction,ZenHome,20.16,28.95,31.0,1,2018-05-06,18.09,2625,0
179,SKU-00179,Street Educational Max,Toys,Educational,PeakForm,69.72,97.72,5.0,1,2024-01-04,1.15,4949,0
180,SKU-00180,Reduce Beverages Max,Grocery,Beverages,IronClad,7.47,10.3,16.0,1,2023-08-19,17.67,4186,0
181,SKU-00181,Compare Outdoor Gear Plus,Sports,Outdoor Gear,IronClad,57.42,105.65,20.0,1,2018-02-22,17.17,3397,0
182,SKU-00182,Today Beverages Ultra,Grocery,Beverages,ZenHome,18.41,34.1,3.0,1,2020-02-15,27.92,1877,0
183,SKU-00183,Or Skincare Plus,Beauty,Skincare,CloudWalker,94.97,147.32,37.0,0,2022-01-06,21.94,4855,0
184,SKU-00184,Occur Skincare Plus,Beauty,Skincare,PlayZone,30.63,78.87,50.0,1,2020-01-08,17.74,1081,0
185,SKU-00185,Everyone Makeup Max,Beauty,Makeup,CloudWalker,60.64,158.82,44.0,1,2020-07-15,17.72,865,0
186,SKU-00186,Arrive Board Games,Toys,Board Games,FreshCart,79.74,118.15,40.0,1,2019-02-15,12.32,4092,0
187,SKU-00187,Detail Action Figures Ultra,Toys,Action Figures,SwiftGear,15.64,28.02,32.0,1,2020-03-14,3.08,4684,0
188,SKU-00188,Section Appliances Lite,Home & Kitchen,Appliances,NovaTech,92.02,215.71,44.0,1,2019-11-17,0.24,1221,0
189,SKU-00189,Everybody Outdoor Gear Ultra,Sports,Outdoor Gear,ZenHome,159.51,418.32,,1,2024-11-12,2.32,3019,0
190,SKU-00190,Carry Bedding Lite,Home & Kitchen,Bedding,PlayZone,132.36,173.86,49.0,1,2018-05-07,23.07,4107,0
191,SKU-00191,Still Headphones Ultra,Electronics,Headphones,NovaTech,652.77,809.6775,21.0,1,2022-07-17,9.02,2517,0
192,SKU-00192,Resource Outdoor Gear Lite,Sports,Outdoor Gear,FreshCart,49.97,94.98,,1,2024-02-25,23.99,1631,0
193,SKU-00193,Administration Fitness Equipment Plus,Sports,Fitness Equipment,SwiftGear,170.84,473.04,26.0,1,2021-06-17,18.62,2884,0
194,SKU-00194,Mother Academic Pro,Books,Academic,SwiftGear,12.42,34.41,40.0,1,2018-08-28,3.33,1763,0
195,SKU-00195,Child Fragrances Max,Beauty,Fragrances,FreshCart,103.68,147.98,39.0,1,2023-07-28,4.22,768,0
196,SKU-00196,Create Appliances Max,Home & Kitchen,Appliances,SwiftGear,339.86,477.73,15.0,1,2021-02-11,8.4,3476,0
197,SKU-00197,Trade Non-Fiction Max,Books,Non-Fiction,UrbanNest,9.44,22.43,26.0,1,2023-09-15,9.81,1029,0
198,SKU-00198,Bar Board Games Pro,Toys,Board Games,PageTurner,26.46,62.6,10.0,0,2024-12-06,8.78,2533,0
199,SKU-00199,Manager Comics Pro,Books,Comics,AromaBliss,31.66,83.3,26.0,1,2019-10-09,8.05,2275,0
200,SKU-00200,Really Women'S Apparel Ultra,Clothing,Women's Apparel,PeakForm,58.72,143.82,18.0,1,2021-01-14,22.47,3760,0
201,SKU-00201,According Snacks Max,Grocery,Snacks,AromaBliss,18.33,25.26,,1,2018-09-06,12.51,3039,0
202,SKU-00202,Might Outdoor Gear,Sports,Outdoor Gear,ZenHome,11.53,24.72,17.0,1,2019-03-06,7.27,1033,0
203,SKU-00203,Campaign Furniture Pro,Home & Kitchen,Furniture,PageTurner,147.62,325.7,50.0,1,2018-06-17,23.73,33,0
204,SKU-00204,Nearly Educational Ultra,Toys,Educational,PlayZone,30.28,41.86,45.0,1,2022-01-18,11.39,4193,0
205,SKU-00205,I Educational Plus,Toys,Educational,PageTurner,71.53,144.98,25.0,1,2018-04-17,5.49,4110,0
206,SKU-00206,Card Cameras Pro,Electronics,Cameras,IronClad,369.58,584.41,46.0,1,2019-06-02,2.28,150,0
207,SKU-00207,Hold Snacks Pro,Grocery,Snacks,PlayZone,14.36,22.03,26.0,1,2021-12-13,25.8,3542,0
